created_at;id;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;geo;lang;user_id_str;conversation_id;conversation_id_str;media_url_https;media_type;username
Thu May 25 17:30:49 +0000 2023;1661786916180861000;1661786916180860934;"WTS jaehyun doll ccomaz selca photocard\n216.000\nReady jp\nTax 6k/pc\nAda grup line\n📍 bekasi - ina\nDm!\n\n🖇️ nct nct127 pc set md merch https://t.co/WgKdbXo2sG";0;0;0;0;;in;1345918694417809408;1661786916180861000;1661786916180860934;"https://pbs.twimg.com/media/Fw_aY9UaYAICoHI.jpg";"photo";rhnjflower
Wed May 24 11:21:22 +0000 2023;1661331552842948600;1661331552842948608;"hwan! krisis identitas😭😭 https://t.co/qgUoXO1ou9";71;48;58;684;;tl;1651246859044757506;1661331552842948600;1661331552842948608;"https://pbs.twimg.com/media/Fw48POoaUAIA75O.jpg";"photo";seunghwanfess
Thu May 25 17:33:22 +0000 2023;1661787556068085800;1661787556068085760;"@nct_menfess pilih Jeno mode apa😔😃🙏🏻";0;0;0;0;;in;1441222314884939777;1661785958621257700;1661785958621257735;"";"";nnorthpage
Thu May 25 17:30:55 +0000 2023;1661786940923080700;1661786940923080704;"member baru nct 😭😭😭😭";0;0;0;0;;in;1542833671757266944;1661786940923080700;1661786940923080704;"";"";oyn_kc
Thu May 25 17:32:19 +0000 2023;1661787291994685400;1661787291994685442;"@nct_menfess Gweh udh ngereog parah aghhhh https://t.co/aWDiHGwql2";0;0;0;0;;in;3225787080;1661782968359325700;1661782968359325696;"";"";jaemininii
Thu May 25 17:31:09 +0000 2023;1661786998707990500;1661786998707990529;"@nct_menfess Nano enak dipanggil";0;0;0;0;;in;1594686257094832129;1661356816704622600;1661356816704622594;"";"";Oiisny
Wed May 24 17:11:06 +0000 2023;1661419566449451000;1661419566449451008;"kalo telponan sama dia tuh gamungkin cuma sejam, bahkan dulu pernah lebih lama lagi 6 jam apa ya gua juga gatau apa aja yg di bahas, iya ini orang yg sama alias @heihoca https://t.co/fMvwUrcTUf";1;1;0;0;;in;1439602406501748746;1661419566449451000;1661419566449451008;"https://pbs.twimg.com/media/Fw6MSN2aQAA9D8v.jpg";"photo";hhasheey
Thu May 25 17:34:08 +0000 2023;1661787750725730300;1661787750725730304;"Taeyong NCT Siap Menusuk Hatimu Dalam Teaser “Thorn” Untuk Debut Solonya\n\n#TAEYONG #태용 #SHALALA #NCT #NCT127 #TAEYONG_SHALALA #NCT_TAEYONG_SHALALA #TAEYONG_ThornPhoto2\nhttps://t.co/v3ALNXGogA";0;0;2;2;;in;2346730214;1661787750725730300;1661787750725730304;"";"";KpopLite_
Thu May 25 17:35:01 +0000 2023;1661787970272387000;1661787970272387072;"Ijo neon udh kyk ls nct wayv, nnti pas mati lampu jdi glow in the dark😭😭🙏 https://t.co/25Pl4Pyhjt";0;0;0;0;;in;1335849571;1661787970272387000;1661787970272387072;"https://pbs.twimg.com/media/Fw_bWZoaYAIj7Oy.jpg";"photo";onyour_njaemine
Thu May 25 17:33:48 +0000 2023;1661787665824612400;1661787665824612353;"kadang suk mikir, ko setiap telponan kaya ada aja pembahasannya gitu.. ga samsek nyari topik tapi tbtb keluar aja. tapi sebetulnya tuh paling aneh kalo kita telponan cuma buat babar alias baca bareng wkwkwkw cari au nya bisa 2 jam sendiri soalnya semua au nct udh dibaca sm ni org";0;1;0;0;;in;1439602406501748746;1661787665824612400;1661787665824612353;"";"";hhasheey
